"hds_customer_id","organization_id","company_code","customer_no","customer_sort_key","name","address_id","contact_attention","phone_country_code","phone_no","formatted_phone_no","phone_extension","fax_country_code","fax_no","formatted_fax_no","fax_extension","salesperson_id","collector_agent_code","tax_authority_code","customer_terms_code","statement_indicator","dunning_messages","finance_indicator","sic_code","duns_number","date_added","credit_limit","date_last_payment","date_last_purchase","largest_bal_date","largest_bal_amount","a_r_open_total","prior_year_sales","d__b_rating","delivery_indicator","bill_complete_ind","cus_po_required","disguise_indicator","cust_ack_indicator","cus_ack_type","osr_type","osr_frequency","collect_followup_dt","exclude_from_collect","collect_prepass_swch","collect_delinq_amt","collect_tot_a_r_amt","target_collectable","stc_reg_code","tax_exempt_number","prorate_deposit","inactive_customer","stc_cus_site_id","commission_plan","def_dlr_contact_code","def_dlr_contact_type","presentation_std_quote","presentation_std_ack","presentation_std_dt","presentation_std_invoice","presentation_std_osr","std_print_mod_date","report_group_1","report_group_2","price_presentation","exclude_from_purge","invoice_summary","contact_email","salesperson_id_2","salesperson_1_pct","contact_code","contact_type","unspsc_default_code","unspsc_default_code_desc","scs_customer_type","include_in_customer_view","tax_exempt_issuer","tax_exempt_reason","sales_mgmt_id","allow_publish","date_modified","exclude_from_autocharge","customer_folder_path","einvoice_to_procurement","email_invoices","sap_id_id","legal_name","objectkey","created_on","updated_on","process_id"
"-1","TANGRAM","1","041LLC","041LLC  ","041 LLC",1071182,"","  ","","","    ","  "," ","","    ","PUR","BG ","CERT","I ",True,True,False,"    ","118642992","2025-03-13 00:00:00","$50,000.00",NULL,NULL,NULL,"$0.00","$0.00","$0.00","   ","C",True,True,"N","N","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL,"",False,False,"41829106",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False,"",NULL,"100","9073","C","          "," ","N",False," "," ",12706,False,"2025-03-21 00:00:00",False,"\\Powervault\files\1Co  1 PROJECT FOLDER FILES\1_041LLC",False,True,NULL,"041 LLC","TANGRAM-AR_CUSTOMERS-1-12706","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","1","1     ","TANGRAM ","TANGRAM INTERIORS             ",39803,"Accounts Payable","  ","","","    ","  ","","","    ","999","DS ","CERT","1 ",False,False,False,"    ","         ","1987-05-22 00:00:00","$100,000.00","2024-01-15 00:00:00","2025-03-27 00:00:00","2020-09-30 00:00:00","$31,500.00","$0.00","$17,638.22","   ","M",True,False,"N","N","A","A","W","2007-05-22 00:00:00",False,False,"$0.00","$0.00","$0.00",NULL,"                        ",False,False,"162880",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","E",False,False," ",NULL,"100",NULL,NULL,"          "," ","N",True,"","",5389,False,"2025-03-27 00:00:00",False," ",False,False,NULL,"TANGRAM INTERIORS             ","TANGRAM-AR_CUSTOMERS-1-5389","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","2","1     ","RE-DO   ","TANGRAM ON-SITE               ",50700,"WENDY MEADOR             ","US","5623655322","+1 (562) 365-5322","    ","US","5623655323","+1 (562) 365-5323","    ","700","BG ","CERT","4 ",True,True,False,"    ","         ","2001-04-03 00:00:00","$100,000.00","2012-01-31 00:00:00","2002-06-06 00:00:00","2002-06-06 00:00:00","$102.00","$0.00","$0.00","   ","P",False,False,"N","O","A","A","W","2002-07-19 00:00:00",False,False,"$0.00","$0.00","$0.00",NULL,"                        ",False,False,"162880",NULL,NULL,NULL,"B","B","C","B","B",False,"      ","      ","S",False,False," ",NULL,"100",NULL,NULL,"          "," ","N",True,"","",1016,False,"2025-01-23 00:00:00",False," ",False,False,NULL,"TANGRAM ON-SITE               ","TANGRAM-AR_CUSTOMERS-2-1016","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","B","1     ","TANGRAM ","TANGRAM INTERIORS",52710," ","US","","","    ","US","","","    ","999","TW ","LO10","11",False,False,False,"    ","         ","2012-06-08 00:00:00","$0.00",NULL,NULL,NULL,"$0.00","$0.00","$0.00","   ","P",False,False,"N","N","N","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL," ",False,True,"162880",NULL,NULL,NULL,"C","C","C","C","C",False,"      ","      "," ",False,False," ",NULL,"100",NULL,NULL,"          "," ","N",True," "," ",1,False,"2018-07-03 00:00:00",False," ",False,False,NULL,"TANGRAM INTERIORS","TANGRAM-AR_CUSTOMERS-B-1","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","D","1     ","TANGRAM ","TANGRAM INTERIORS",807230,"","  ","","","    ","  "," ","","    ","998","DS ","CERT","0 ",True,True,False,"    ","120878152","2021-08-20 00:00:00","$0.00","2022-07-29 00:00:00","2024-11-26 00:00:00","2021-12-28 00:00:00","$35,518.27","$766.42","$819.77","   ","M",True,True,"N","A","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL," ",False,False,"1333522",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False," ",NULL,"100","N03B","C","          "," ","N",False," "," ",6,False,"2025-01-01 00:00:00",False," ",False,True,NULL,"TANGRAM INTERIORS","TANGRAM-AR_CUSTOMERS-D-6","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","F","1     ","TANGRAM ","Tangram Interiors.",52799," ","  ","5623655000","5623655000","    ","  ","5623655033","5623655033","    ","965","MP ","CERT","1 ",False,True,False,"    ","120878152","2010-01-14 00:00:00","$0.00","2025-03-31 00:00:00","2025-03-31 00:00:00","2021-05-25 00:00:00","$183,660.97","$0.00","$50,264.34","   ","C",True,True,"N","O","N","A","W",NULL,False,True,"$1,984.29","$1,984.29","$0.00",NULL," ",False,False,"162880",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False," ",NULL,"100",NULL,NULL,"          "," ","N",True," "," ",67,False,"2025-04-01 00:00:00",False," ",False,False,NULL,"Tangram Interiors.","TANGRAM-AR_CUSTOMERS-F-67","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","K","1     ","TANGRAM ","TANGRAM INTERIORS",53249," ","US","","","    ","US","","","    ","300",NULL,"LO10","11",False,False,False,"    ","         ","2010-10-06 00:00:00","$0.00","2012-04-30 00:00:00","2012-04-30 00:00:00","2011-04-12 00:00:00","$43,225.00","$0.00","$79,030.00","   ","P",False,False,"N","N","N","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL," ",False,True,"0",NULL,NULL,NULL,"C","C","C","C","C",False,"      ","      "," ",False,False," ",NULL,"100",NULL,NULL,"          "," ","N",True," "," ",1,False,"2018-07-03 00:00:00",False," ",False,False,NULL,"TANGRAM INTERIORS","TANGRAM-AR_CUSTOMERS-K-1","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","P","1     ","TANGRAM ","Tangram Interiors",940559,"","  ","","","    ","  "," ","","    ","965",NULL,"CERT","0 ",True,True,False,"    ","         ","2023-05-12 00:00:00","$0.00","2023-12-31 00:00:00","2023-12-29 00:00:00","2023-12-29 00:00:00","$419,639.86","$0.00","$0.00","   ","C",True,True,"N","N","N","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL,"",False,False,"1333522",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False,"",NULL,"100","O03B","C","          "," ","N",False," "," ",257,False,"2025-01-01 00:00:00",False," ",False,True,NULL,"Tangram Interiors","TANGRAM-AR_CUSTOMERS-P-257","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","S","100   ","TANGRAM ","TANGRAM                       ",53430,"Accounts Payable","US","5623655000","+1 (562) 365-5000","    ","US","5623655399","+1 (562) 365-5399","    ","999","TW ","CERT","4 ",True,False,False,"    ","         ","2000-07-13 00:00:00","$0.00","2025-03-31 00:00:00","2025-03-27 00:00:00","2019-07-31 00:00:00","$2,096,770.68","$0.00","$998,783.92","   ","M",True,True,"N","N","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL,"resale",False,False,"162880",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False,"tjackson@tangraminteriors.com",NULL,"100",NULL,NULL,"          "," ","N",True,"resale","resale",31,False,"2025-03-31 00:00:00",False," ",False,True,NULL,"TANGRAM                       ","TANGRAM-AR_CUSTOMERS-S-31","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","S","101   ","STUDIO  ","TANGRAM STUDIO                ",53431," ","US","5623655000","+1 (562) 365-5000","    ","  "," ","","    ","999",NULL,"CERT","1 ",False,False,False,"    ","         ","2001-04-03 00:00:00","$0.00","2025-03-25 00:00:00","2024-12-20 00:00:00","2014-06-30 00:00:00","$808,994.39","$850.00","$94,913.45","   ","M",False,True,"N","N","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL,"                        ",False,False,"162880",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",True,False," ",NULL,"100",NULL,NULL,"          "," ","N",True,"","",30,False,"2025-03-30 00:00:00",False," ",False,False,NULL,"TANGRAM STUDIO                ","TANGRAM-AR_CUSTOMERS-S-30","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","S","102   ","FLOORING","Tangrm Flooring",53432,"Accounts Payable","US","5623655022","+1 (562) 365-5022","    ","US","","","    ","999","TW ","CERT","4 ",True,False,False,"    ","         ","2017-11-30 00:00:00","$0.00",NULL,NULL,NULL,"$0.00","$0.00","$0.00","   ","M",True,True,"N","O","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL,"resale",False,False,"162880",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False,"tjackson@tangraminteriors.com",NULL,"100",NULL,NULL,"          "," ","N",False,"resale","resale",292,False,"2025-01-01 00:00:00",False,"\\Powervault\files\3Co S PROJECT FOLDER FILES\S_102",False,True,NULL,"Tangrm Flooring","TANGRAM-AR_CUSTOMERS-S-292","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","S","103   ","DALLAS  ","Tangram Dallas",856365,"Accounts Payable","US","5623655022","+1 (562) 365-5022","    ","  "," ","","    ","999","TW ","CERT","1 ",True,False,False,"    ","196925952","2022-04-14 00:00:00","$0.00","2024-11-30 00:00:00","2024-10-11 00:00:00","2023-03-31 00:00:00","$286,804.31","$0.00","$285,993.20","   ","M",True,True,"N","O","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL,"13714287409",False,False,"1333522",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False,"tjackson@tangraminteriors.com",NULL,"100",NULL,NULL,"          "," ","N",False,"Texas","Resale Internal",423,False,"2025-01-01 00:00:00",False," ",False,False,NULL,"Tangram Dallas","TANGRAM-AR_CUSTOMERS-S-423","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","1","180EAS","180EASTO","180 East Ocean LLC",1053365,"","  ","","","    ","  "," ","","    ","388","BG ","CERT","F ",True,True,False,"    ","0        ","2024-11-27 00:00:00","$2,500.00",NULL,"2025-04-22 00:00:00","2025-04-22 00:00:00","$2,641.09","$5.98","$0.00","   ","C",True,True,"N","N","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL,"",False,False,"41825272",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False,"",NULL,"100","V06M","C","          "," ","N",False," "," ",12684,False,"2025-04-22 00:00:00",False,"\\Powervault\files\1Co  1 PROJECT FOLDER FILES\1_180EAS",False,False,NULL,"180 East Ocean, LLC","TANGRAM-AR_CUSTOMERS-1-12684","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","D","1ST001","FIRSTHOR","First Horizon Bank",829416,"Accounts Payable","  ","9015234444","+1 (901) 523-4444","    ","  "," ","","    ","229","DS ","CERT","4 ",True,True,False,"    ","101808343","2021-12-03 00:00:00","$0.00",NULL,NULL,NULL,"$0.00","$0.00","$0.00","   ","C",True,True,"N","O","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL," ",False,False,"15536110",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False," ",NULL,"100",NULL,NULL,"          "," ","N",False," "," ",111,False,"2025-01-01 00:00:00",False," ",False,False,NULL,"First Horizon Bank","TANGRAM-AR_CUSTOMERS-D-111","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","1","2     ","TANGRAM ","TANGRAM - DEMO",39804,"","US","","","    ","US","","","    ","999","TW ","CERT","1 ",False,False,False,"    ","         ","2006-09-05 00:00:00","$0.00",NULL,NULL,NULL,"$0.00","$0.00","$0.00","   ","C",False,True,"N","N","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL,"",False,True,"162880",NULL,"TFL ","D","S","S","C","S","S",False,"      ","      ","S",False,False,"",NULL,"100",NULL," ","          ","","N",True,"","",6532,False,"2025-01-01 00:00:00",False," ",False,True,NULL,"TANGRAM - DEMO","TANGRAM-AR_CUSTOMERS-1-6532","2025-05-01 23:53:30.216346",NULL,NULL
"-1","TANGRAM","2","2     ","TANGRAM ","TANGRAM INTERIORS",50701,"JAN WINDLE               ","US","5623655000","+1 (562) 365-5000","    ","US","5623655329","+1 (562) 365-5329","    ","700","TW ","CERT","11",True,False,False,"    ","120878152","2000-10-16 00:00:00","$250,000.00","2011-12-31 00:00:00","2011-12-13 00:00:00","2011-07-05 00:00:00","$2,625.00","$0.00","$0.00","   ","P",False,True,"N","O","A","A","W",NULL,False,False,"$0.00","$0.00","$0.00",NULL,"                        ",False,True,"162880",NULL,NULL,NULL,"S","S","C","S","S",False,"      ","      ","S",False,False," ",NULL,"100",NULL,NULL,"          "," ","N",True,"","",1187,False,"2025-01-01 00:00:00",False," ",False,False,NULL,"TANGRAM INTERIORS","TANGRAM-AR_CUSTOMERS-2-1187","2025-05-01 23:53:30.216346",NULL,NULL
